biol_site_id,SAMPLE_ID,SAMPLE_DATE,SAMPLE_TYPE_DESCRIPTION,SAMPLE_METHOD_DESCRIPTION,SAMPLE_REASON,ANALYSIS_ID,DATE_OF_ANALYSIS,ANALYSIS_TYPE_DESCRIPTION,ANALYSIS_METHOD_DESCRIPTION,BMWP_N_TAXA,BMWP_TOTAL,BMWP_ASPT,CCI_N_TAXA,CCI_CS_TOTAL,CCI_ASPT,CSmax_CoS,BMWP_CoS,CCI_CoS,CCI,DEHLI_N_TAXA,DIS_TOTAL,DEHLI,EPSI_ML_S_GRP,EPSI_ML_ALL_GRP,EPSI_MIXED_LEVEL_SCORE,EPSI_S_GRP,EPSI_ALL_GRP,EPSI_FAMILY_SCORE,LIFE_N_TAXA,LIFE_SCORES_TOTAL,LIFE_FAMILY_INDEX,LIFE_SPECIES_N_TAXA,LIFE_SPECIES_SCORES_TOTAL,LIFE_SPECIES_INDEX,PSI_ML_AB,PSI_ML_ABCD,PSI_MIXED_LEVEL_SCORE,PSI_AB,PSI_ABCD,PSI_FAMILY_SCORE,WHPT_N_TAXA,WHPT_TOTAL,WHPT_ASPT,WHPT_NW_N_TAXA,WHPT_NW_TOTAL,WHPT_NW_ASPT
56226,605913,23/03/2010,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,602376,03/08/2010,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),20,115,5.75,19,25,1.32,3,5,5,6.58,17,92,5.41,11.89,16.54,71.89,7.54,10.19,73.99,18,136,7.56,23,180,7.83,29,47,61.7,24,38,63.16,23,131.7,5.73,23,131.9,5.73
56226,617146,29/11/2010,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,606919,15/12/2010,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,113,5.14,18,28,1.56,5,5,5,7.78,16,83,5.19,12.63,15.44,81.8,7.03,9.44,74.47,20,148,7.4,21,163,7.76,26,43,60.47,25,41,60.98,22,123.7,5.62,22,120.4,5.47
56226,621301,30/03/2011,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,613451,06/05/2011,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),17,87,5.12,16,22,1.38,3,3,3,4.13,13,65,5,12.76,15.2,83.95,7.52,9.2,81.74,15,112,7.47,20,158,7.9,28,40,70,22,30,73.33,19,109.2,5.75,19,107.1,5.64
56226,625188,08/06/2011,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,614955,13/06/2011,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),15,71,4.73,11,14,1.27,3,3,3,3.82,13,63,4.85,11.02,13.1,84.12,7.51,9.19,81.72,14,105,7.5,17,129,7.59,20,36,55.56,22,33,66.67,17,93.8,5.52,17,88.7,5.22
56226,627346,02/08/2011,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,617764,10/08/2011,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,111,5.05,22,34,1.55,3,5,5,7.73,21,108,5.14,12.87,18.01,71.46,6.77,9.67,70.01,20,140,7,25,193,7.72,26,48,54.17,23,39,58.97,26,140.2,5.39,26,137.1,5.27
56226,630858,11/10/2011,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,619507,13/10/2011,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),20,107,5.35,13,15,1.15,1,5,5,5.77,18,87,4.83,12.37,15.3,80.85,6.78,9.91,68.42,18,131,7.28,21,158,7.52,25,46,54.35,22,40,55,23,124.2,5.4,23,122.2,5.31
56226,633499,09/12/2011,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,622147,13/12/2011,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),18,92,5.11,15,22,1.47,5,3,5,7.33,17,83,4.88,13.26,15.71,84.4,6.78,9.2,73.7,18,131,7.28,20,155,7.75,25,43,58.14,22,38,57.89,20,105.9,5.3,20,105,5.25
56226,634726,09/02/2012,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,625093,15/02/2012,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),19,95,5,15,17,1.13,1,3,3,3.4,17,82,4.82,10.75,13.44,79.99,6.28,8.45,74.32,18,131,7.28,21,159,7.57,23,39,58.97,20,37,54.05,22,116,5.27,22,113,5.14
56226,635805,12/04/2012,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,626123,16/04/2012,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),16,82,5.13,13,21,1.62,5,3,5,8.08,16,82,5.13,8.75,10.83,80.79,4.52,5.96,75.84,14,102,7.29,16,124,7.75,18,31,58.06,18,29,62.07,20,110.4,5.52,20,112.9,5.65
56226,638556,27/06/2012,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,627651,02/07/2012,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),17,83,4.88,12,12,1,1,3,3,3,13,64,4.92,9.38,12.08,77.65,6.77,9.41,71.94,15,111,7.4,17,130,7.65,21,37,56.76,20,36,55.56,19,98.6,5.19,19,97.3,5.12
56226,640612,29/08/2012,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,629243,31/08/2012,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),24,136,5.67,17,23,1.35,3,5,5,6.76,18,94,5.22,12.13,15.8,76.77,7.79,11.65,66.87,22,162,7.36,23,176,7.65,24,43,55.81,25,45,55.56,25,139.6,5.58,25,137.1,5.48
56226,660592,20/05/2013,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,649369,19/07/2013,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),19,102,5.37,12,12,1,1,5,5,5,18,88,4.89,9.88,11.84,83.45,6.28,7.74,81.14,17,124,7.29,19,146,7.68,22,36,61.11,20,31,64.52,21,115,5.48,21,117,5.57
56226,677256,23/10/2013,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,657654,24/10/2013,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),21,120,5.71,18,23,1.28,3,5,5,6.39,16,78,4.88,10,13.67,73.15,5.04,8.18,61.61,19,134,7.05,22,167,7.59,21,40,52.5,18,34,52.94,22,124,5.64,22,122.8,5.58
56226,692086,30/04/2014,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,695862,19/01/2015,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),23,116,5.04,24,44,1.83,5,5,5,9.17,22,108,4.91,16.13,21.52,74.95,8.03,10.95,73.33,23,163,7.09,33,250,7.58,34,61,55.74,27,48,56.25,28,146.2,5.22,28,144.8,5.17
56226,699395,09/09/2014,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,688687,25/11/2014,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),19,106,5.58,17,26,1.53,3,5,5,7.65,19,97,5.11,11.25,14.93,75.35,6.54,9.44,69.28,17,128,7.53,22,174,7.91,29,45,64.44,22,36,61.11,21,116.5,5.55,21,117.2,5.58
56226,716421,07/04/2015,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,707993,08/04/2015,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),20,110,5.5,23,32,1.39,5,5,5,6.96,19,96,5.05,11.75,18.48,63.58,5.04,9.15,55.08,18,125,6.94,26,197,7.58,26,52,50,20,38,52.63,23,128.9,5.6,23,130.7,5.68
56226,730345,16/11/2015,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,724284,15/02/2016,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),25,147,5.88,22,30,1.36,5,5,5,6.82,22,114,5.18,15.75,21.01,74.96,7.04,11.87,59.31,23,167,7.26,27,212,7.85,34,59,57.63,26,47,55.32,26,148.7,5.72,26,151.3,5.82
56226,740285,13/05/2016,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,734651,02/11/2016,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),21,120,5.71,18,28,1.56,5,5,5,7.78,16,86,5.38,11.87,16.4,72.38,7.28,10.9,66.79,20,147,7.35,23,178,7.74,27,45,60,24,37,64.86,21,123.4,5.88,21,122.8,5.85
