@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.17,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,Temp Water,Temperature of Water,0076,"",8.6,"",cel,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,Cond @ 25C,Conductivity at 25 C,0077,"",487,"",us/cm,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",0.11,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,pH,pH,0061,"",7.82,"",phunits,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",4.2,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,NH3 un-ion,Ammonia un-ionised as N,0119,"",0.0012,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",91.7,"",%,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-6396,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,TurbidityNTU,Turbidity,6396,"",40,"",ntu,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",10.7,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,Nitrite-N,Nitrite as N,0118,"",0.036,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,Sld Sus@105C,"Solids, Suspended at 105 C",0135,"",37,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3399301-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-01-16T11:23:00,Nitrate-N,Nitrate as N,0117,"",4.16,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",10.3,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-6396,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,TurbidityNTU,Turbidity,6396,"",19,"",ntu,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,Temp Water,Temperature of Water,0076,"",10.2,"",cel,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,Nitrite-N,Nitrite as N,0118,"",0.043,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,Cond @ 25C,Conductivity at 25 C,0077,"",519,"",us/cm,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,NH3 un-ion,Ammonia un-ionised as N,0119,"",0.00242,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",0.14,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,pH,pH,0061,"",7.97,"",phunits,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,Nitrate-N,Nitrate as N,0117,"",3.86,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",91.7,"",%,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.14,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",3.9,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
http://environment.data.gov.uk/water-quality/data/measurement/SW-3401804-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/SW-60250424,SW-60250424,RIVER PARRETT AT WESTOVER BRIDGE,2020-02-24T11:48:00,Sld Sus@105C,"Solids, Suspended at 105 C",0135,"",20,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),341559,126644
