"","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","SLOPE","DIST_FROM_SOURCE","SOURCE_ALTITUDE","ALKALINITY","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_MPHYTE"
"1","SOUTH WEST - NORTH WESSEX","WESSEX","SOMERSET FROME/MELLS","RIVER: Natural/semi-natural flowing fresh watercourse","MELLS",7665,1,"ST",77010,49970,"ST7701049970",377010,149970,"GB109053022020",3.2,17.7,,238.6,1995-01-01,2003-08-28,2003-08-28,1,FALSE
"2","SOUTH WEST - NORTH WESSEX","WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","CHALFIELD BROOK",7787,1,"ST",88604,62465,"ST8860462465",388604,162465,"GB109053021890",1.9,8.95,,242.6,1995-01-01,2002-08-28,2003-09-10,2,FALSE
"3","SOUTH WEST - NORTH WESSEX","WESSEX","SEMINGTON BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","SEMINGTON BROOK",7790,1,"ST",89930,60810,"ST8993060810",389930,160810,"GB109053022200",1.2,17.8,,248.8,1995-01-01,2006-09-13,2006-09-13,1,FALSE
"4","SOUTH WEST - NORTH WESSEX","WESSEX","SEMINGTON BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","SUMMERHAM BROOK",7797,1,"ST",94530,59500,"ST9453059500",394530,159500,"GB109053022220",2.2,7.45,,257,1995-01-01,2003-09-05,2003-09-05,1,FALSE
"5","SOUTH WEST - NORTH WESSEX","WESSEX","SEMINGTON BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","BULKINGTON DROVE WATERCOURSE",7798,1,"ST",94306,57743,"ST9430657743",394306,157743,"GB109053022140",1.9,5.3,100,230.3,1995-01-01,2011-08-02,2014-09-03,2,FALSE
"6","SOUTH WEST - NORTH WESSEX","WESSEX","SEMINGTON BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","SEMINGTON BROOK",7799,1,"ST",94442,58031,"ST9444258031",394442,158031,"GB109053022170",1.7,12.4,,245.5,1995-01-01,2011-08-02,2011-08-02,1,FALSE
"7","SOUTH WEST - NORTH WESSEX","WESSEX","SEMINGTON BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","SEMINGTON BROOK",7805,1,"ST",99900,54700,"ST9990054700",399900,154700,"GB109053022130",3.8,3.55,,237,1995-01-01,2002-07-30,2002-07-30,1,FALSE
"8","SOUTH WEST - NORTH WESSEX","WESSEX","BISS","RIVER: Natural/semi-natural flowing fresh watercourse","BITHAM BROOK",7809,1,"ST",86109,54134,"ST8610954134",386109,154134,"GB109053021770",2.6,5.7,,242,2012-10-04,2002-08-23,2003-09-10,2,FALSE
"9","SOUTH WEST - NORTH WESSEX","WESSEX","BISS","RIVER: Natural/semi-natural flowing fresh watercourse","BISS",7812,1,"ST",85495,59337,"ST8549559337",385495,159337,"GB109053021791",1.7,15,,263.2,1995-01-01,1995-06-06,1996-08-19,4,FALSE
"10","SOUTH WEST - NORTH WESSEX","WESSEX","SEMINGTON BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","SEMINGTON BROOK",7815,1,"ST",93550,58800,"ST9355058800",393550,158800,"GB109053022200",1.7,13.7,,241.9,1995-01-01,2002-07-30,2003-09-05,2,FALSE
