"@id","type","label","notation","easting","northing","lat","long","catchmentName","riverName","town","stationReference","wiskiID","RLOIid","dateOpened","nrfaStationID","nrfaStationURL","datum","boreholeDepth","aquifer","stationGuid","status","status.label","measures","measures.label","measures.observedProperty","measures.observedProperty.label","measures.qualifier","measures.unitName","measures.notation","measures.period","measures.valueStatistic","measures.valueStatistic.label","measures.observationType","measures.observationType.label","sampleOf","sampleOf.label"
"http://environment.data.gov.uk/hydrology/id/stations/951f7162-24d4-45f4-a03e-ee55d3c864c1","http://environment.data.gov.uk/flood-monitoring/def/core/Station|http://environment.data.gov.uk/reference/def/core/SamplingLocation","Ponsanooth","951f7162-24d4-45f4-a03e-ee55d3c864c1","176228","37642","50.196411","-5.136703","","River Kennall","","48183","SW73F053","3385","","48007","https://nrfa.ceh.ac.uk/data/station/info/48007.html","","","","951f7162-24d4-45f4-a03e-ee55d3c864c1","","","http://environment.data.gov.uk/hydrology/id/measures/951f7162-24d4-45f4-a03e-ee55d3c864c1-flow--i-15_min-m3_s-measured|http://environment.data.gov.uk/hydrology/id/measures/951f7162-24d4-45f4-a03e-ee55d3c864c1-flow-m-86400-m3s-qualified","Measured flow 15 min timeseries for Ponsanooth|Qualified daily mean flow timeseries for SW73F053(Ponsanooth)","http://environment.data.gov.uk/reference/def/op/waterFlow|http://environment.data.gov.uk/reference/def/op/waterFlow","Water Flow","","m3/s|m3/s","951f7162-24d4-45f4-a03e-ee55d3c864c1-flow--i-15_min-m3_s-measured|951f7162-24d4-45f4-a03e-ee55d3c864c1-flow-m-86400-m3s-qualified","86400|900","http://environment.data.gov.uk/reference/def/core/mean|http://environment.data.gov.uk/reference/def/core/mean","mean","http://environment.data.gov.uk/reference/def/core/Measured|http://environment.data.gov.uk/reference/def/core/Qualified","Qualified|Measured","",""
"http://environment.data.gov.uk/hydrology/id/stations/d9f8ae6e-a12e-4fbf-972e-21c89e521789","http://environment.data.gov.uk/flood-monitoring/def/core/Station|http://environment.data.gov.uk/reference/def/core/SamplingLocation","Brent (Monks Park)","d9f8ae6e-a12e-4fbf-972e-21c89e521789","520194","185052","51.551558","-0.267837","","River Brent","","3850TH","3850TH","","","39093","https://nrfa.ceh.ac.uk/data/station/info/39093.html","","","","d9f8ae6e-a12e-4fbf-972e-21c89e521789","","","http://environment.data.gov.uk/hydrology/id/measures/d9f8ae6e-a12e-4fbf-972e-21c89e521789-flow-m-86400-m3s-qualified","Qualified daily mean flow timeseries for 3850TH(Brent (Monks Park))","http://environment.data.gov.uk/reference/def/op/waterFlow","Water Flow","","m3/s","d9f8ae6e-a12e-4fbf-972e-21c89e521789-flow-m-86400-m3s-qualified","86400","http://environment.data.gov.uk/reference/def/core/mean","mean","http://environment.data.gov.uk/reference/def/core/Qualified","Qualified","",""
"http://environment.data.gov.uk/hydrology/id/stations/655a16a0-8498-4b83-a8f6-6816952b2262","http://environment.data.gov.uk/flood-monitoring/def/core/Station|http://environment.data.gov.uk/reference/def/core/SamplingLocation","Armley","655a16a0-8498-4b83-a8f6-6816952b2262","428057","434020","53.801716","-1.575480","","River Aire","","F1707","F1707","8009","","27028","https://nrfa.ceh.ac.uk/data/station/info/27028.html","","","","655a16a0-8498-4b83-a8f6-6816952b2262","","","http://environment.data.gov.uk/hydrology/id/measures/655a16a0-8498-4b83-a8f6-6816952b2262-flow-m-86400-m3s-qualified","Qualified daily mean flow timeseries for F1707(Armley)","http://environment.data.gov.uk/reference/def/op/waterFlow","Water Flow","","m3/s","655a16a0-8498-4b83-a8f6-6816952b2262-flow-m-86400-m3s-qualified","86400","http://environment.data.gov.uk/reference/def/core/mean","mean","http://environment.data.gov.uk/reference/def/core/Qualified","Qualified","",""
"http://environment.data.gov.uk/hydrology/id/stations/32f5b1ea-29f7-4d6c-b473-a9e5da0e59d1","http://environment.data.gov.uk/flood-monitoring/def/core/Station|http://environment.data.gov.uk/reference/def/core/SamplingLocation","Banks Road","32f5b1ea-29f7-4d6c-b473-a9e5da0e59d1","526255","369615","53.208603","-0.110981","","River Waring","","E1488","030028","","","","","","","","32f5b1ea-29f7-4d6c-b473-a9e5da0e59d1","","","http://environment.data.gov.uk/hydrology/id/measures/32f5b1ea-29f7-4d6c-b473-a9e5da0e59d1-flow-m-86400-m3s-qualified","Qualified daily mean flow timeseries for 030028(Banks Road)","http://environment.data.gov.uk/reference/def/op/waterFlow","Water Flow","","m3/s","32f5b1ea-29f7-4d6c-b473-a9e5da0e59d1-flow-m-86400-m3s-qualified","86400","http://environment.data.gov.uk/reference/def/core/mean","mean","http://environment.data.gov.uk/reference/def/core/Qualified","Qualified","",""
"http://environment.data.gov.uk/hydrology/id/stations/8e8296b1-6e4d-49e3-a197-cfcd0962e1b3","http://environment.data.gov.uk/flood-monitoring/def/core/Station|http://environment.data.gov.uk/reference/def/core/SamplingLocation","Victoria Mill","8e8296b1-6e4d-49e3-a197-cfcd0962e1b3","525895","369855","53.210844","-0.116274","","River Bain","","E1901","030027","6060","","","","","","","8e8296b1-6e4d-49e3-a197-cfcd0962e1b3","","","http://environment.data.gov.uk/hydrology/id/measures/8e8296b1-6e4d-49e3-a197-cfcd0962e1b3-flow-m-86400-m3s-qualified","Qualified daily mean flow timeseries for 030027(Victoria Mill)","http://environment.data.gov.uk/reference/def/op/waterFlow","Water Flow","","m3/s","8e8296b1-6e4d-49e3-a197-cfcd0962e1b3-flow-m-86400-m3s-qualified","86400","http://environment.data.gov.uk/reference/def/core/mean","mean","http://environment.data.gov.uk/reference/def/core/Qualified","Qualified","",""
"http://environment.data.gov.uk/hydrology/id/stations/7453937b-088f-46d5-ad71-bdf9c9db0d48","http://environment.data.gov.uk/flood-monitoring/def/core/Station|http://environment.data.gov.uk/reference/def/core/SamplingLocation","Saltersford","7453937b-088f-46d5-ad71-bdf9c9db0d48","492715","333385","52.889925","-0.623414","","River Witham","","E2859","030029","","","30005","https://nrfa.ceh.ac.uk/data/station/info/30005.html","","","","7453937b-088f-46d5-ad71-bdf9c9db0d48","","","http://environment.data.gov.uk/hydrology/id/measures/7453937b-088f-46d5-ad71-bdf9c9db0d48-flow-m-86400-m3s-qualified","Qualified daily mean flow timeseries for 030029(Saltersford)","http://environment.data.gov.uk/reference/def/op/waterFlow","Water Flow","","m3/s","7453937b-088f-46d5-ad71-bdf9c9db0d48-flow-m-86400-m3s-qualified","86400","http://environment.data.gov.uk/reference/def/core/mean","mean","http://environment.data.gov.uk/reference/def/core/Qualified","Qualified","",""
"http://environment.data.gov.uk/hydrology/id/stations/ff067d69-33d5-4134-a2d3-0dcaa2832f92","http://environment.data.gov.uk/flood-monitoring/def/core/Station|http://environment.data.gov.uk/reference/def/core/SamplingLocation","Hagnaby Beck End Weir","ff067d69-33d5-4134-a2d3-0dcaa2832f92","534995","358535","53.106922","0.015133","","Hagnaby Beck","","E1708","030023","6231","","","","","","","ff067d69-33d5-4134-a2d3-0dcaa2832f92","","","http://environment.data.gov.uk/hydrology/id/measures/ff067d69-33d5-4134-a2d3-0dcaa2832f92-flow-m-86400-m3s-qualified","Qualified daily mean flow timeseries for 030023(Hagnaby Beck End Weir)","http://environment.data.gov.uk/reference/def/op/waterFlow","Water Flow","","m3/s","ff067d69-33d5-4134-a2d3-0dcaa2832f92-flow-m-86400-m3s-qualified","86400","http://environment.data.gov.uk/reference/def/core/mean","mean","http://environment.data.gov.uk/reference/def/core/Qualified","Qualified","",""
"http://environment.data.gov.uk/hydrology/id/stations/2fc04620-13e1-46a2-83a3-17dc75b5daf6","http://environment.data.gov.uk/flood-monitoring/def/core/Station|http://environment.data.gov.uk/reference/def/core/SamplingLocation","Scopwick Beck","2fc04620-13e1-46a2-83a3-17dc75b5daf6","507425","358005","53.108417","-0.396691","","Scopwick Beck","","","030020","","","","","","","","2fc04620-13e1-46a2-83a3-17dc75b5daf6","","","http://environment.data.gov.uk/hydrology/id/measures/2fc04620-13e1-46a2-83a3-17dc75b5daf6-flow-m-86400-m3s-qualified","Qualified daily mean flow timeseries for 030020(Scopwick Beck)","http://environment.data.gov.uk/reference/def/op/waterFlow","Water Flow","","m3/s","2fc04620-13e1-46a2-83a3-17dc75b5daf6-flow-m-86400-m3s-qualified","86400","http://environment.data.gov.uk/reference/def/core/mean","mean","http://environment.data.gov.uk/reference/def/core/Qualified","Qualified","",""
"http://environment.data.gov.uk/hydrology/id/stations/ad19b458-9e76-4c18-8ebc-d2a959156f82","http://environment.data.gov.uk/flood-monitoring/def/core/Station|http://environment.data.gov.uk/reference/def/core/SamplingLocation","Dorking","ad19b458-9e76-4c18-8ebc-d2a959156f82","517990","150160","51.238425","-0.311198","","River Mole","","3270TH","3270TH","","","39068","https://nrfa.ceh.ac.uk/data/station/info/39068.html","","","","ad19b458-9e76-4c18-8ebc-d2a959156f82","","","http://environment.data.gov.uk/hydrology/id/measures/ad19b458-9e76-4c18-8ebc-d2a959156f82-flow-m-86400-m3s-qualified","Qualified daily mean flow timeseries for 3270TH(Dorking)","http://environment.data.gov.uk/reference/def/op/waterFlow","Water Flow","","m3/s","ad19b458-9e76-4c18-8ebc-d2a959156f82-flow-m-86400-m3s-qualified","86400","http://environment.data.gov.uk/reference/def/core/mean","mean","http://environment.data.gov.uk/reference/def/core/Qualified","Qualified","",""
"http://environment.data.gov.uk/hydrology/id/stations/75ed9d12-9ca5-4607-8658-c80b979a1310","http://environment.data.gov.uk/flood-monitoring/def/core/Station|http://environment.data.gov.uk/reference/def/core/SamplingLocation","Rippingale","75ed9d12-9ca5-4607-8658-c80b979a1310","512540","327116","52.829816","-0.331042","","Rippingale Running Dyke","","","030022","","","","","","","","75ed9d12-9ca5-4607-8658-c80b979a1310","","","http://environment.data.gov.uk/hydrology/id/measures/75ed9d12-9ca5-4607-8658-c80b979a1310-flow-m-86400-m3s-qualified","Qualified daily mean flow timeseries for 030022(Rippingale)","http://environment.data.gov.uk/reference/def/op/waterFlow","Water Flow","","m3/s","75ed9d12-9ca5-4607-8658-c80b979a1310-flow-m-86400-m3s-qualified","86400","http://environment.data.gov.uk/reference/def/core/mean","mean","http://environment.data.gov.uk/reference/def/core/Qualified","Qualified","",""
