"measure","dateTime","date","value","completeness","quality","qcode"
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-01T09:00:00","2010-01-01","4.51","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-02T09:00:00","2010-01-02","4.28","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-03T09:00:00","2010-01-03","3.97","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-04T09:00:00","2010-01-04","3.8","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-05T09:00:00","2010-01-05","3.66","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-06T09:00:00","2010-01-06","3.5","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-07T09:00:00","2010-01-07","3.33","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-08T09:00:00","2010-01-08","3.2","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-09T09:00:00","2010-01-09","3.11","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-10T09:00:00","2010-01-10","3.03","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-11T09:00:00","2010-01-11","2.97","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-12T09:00:00","2010-01-12","2.9","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-13T09:00:00","2010-01-13","2.84","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-14T09:00:00","2010-01-14","2.77","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-15T09:00:00","2010-01-15","3.71","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-16T09:00:00","2010-01-16","7.96","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-17T09:00:00","2010-01-17","7.76","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-18T09:00:00","2010-01-18","8.03","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-19T09:00:00","2010-01-19","7.84","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-20T09:00:00","2010-01-20","6.99","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-21T09:00:00","2010-01-21","6.25","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-22T09:00:00","2010-01-22","8.47","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-23T09:00:00","2010-01-23","7.46","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-24T09:00:00","2010-01-24","6.86","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-25T09:00:00","2010-01-25","6.26","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-26T09:00:00","2010-01-26","5.63","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-27T09:00:00","2010-01-27","5.47","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-28T09:00:00","2010-01-28","5.42","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-29T09:00:00","2010-01-29","5.49","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-30T09:00:00","2010-01-30","4.87","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-01-31T09:00:00","2010-01-31","4.59","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-02-01T09:00:00","2010-02-01","4.41","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-02-02T09:00:00","2010-02-02","6.09","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-02-03T09:00:00","2010-02-03","5.38","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-02-04T09:00:00","2010-02-04","5.52","Complete","Good",""
"http://environment.data.gov.uk/hydrology/id/measures/951e3a10-1d16-4526-b767-e5056724b5b6-flow-m-86400-m3s-qualified","2010-02-05T09:00:00","2010-02-05","5.78","Complete","Good",""
